År;Månad;Dag;Timme;Temperatur;Effekt;Vind;Soltimmar
2016;10;29;8;4,01516161;18,5413877;6,5;3600
2016;10;29;9;5,978388873;15,47356376;6;3600
2016;10;29;10;8,722680171;12,61753299;6,1;3600
2016;10;29;11;9,855704856;11,83287907;6,4;3600
2016;10;29;12;10,72722127;11,2635655;6,9;3600
2016;10;29;13;11,09200388;11,9468063;6,7;3600
2016;10;29;14;10,86275462;14,06276528;6,6;1629
2016;10;29;15;9,908078893;14,49664161;7;850
2016;10;29;16;9,139473744;14,85751013;6,3;0
2016;10;29;17;9,155675823;15,08330181;6,6;0
2016;10;29;18;8,358029316;14,48021063;6,9;0
2016;10;29;19;7,888541191;14,5138098;6;0
2016;10;29;20;7,387946292;16,52897797;5,6;0
2016;10;29;21;7,568355244;17,96438942;4,8;0
2016;10;29;22;8,348211288;16,08261292;4,3;0
2016;10;29;23;8,348211288;14,01529441;4,5;0
2016;10;30;0;8,348211288;13,19602514;4,5;0
2016;10;30;1;8,447866808;13,70017134;4,3;0
2016;10;30;2;8,449498646;15,06088551;3,9;0
2016;10;30;3;7,974365234;16,18246031;3,6;0
2016;10;30;4;7,943363053;16,65921766;3,6;0
2016;10;30;5;7,029649116;17,6218934;3,7;0
2016;10;30;6;6,453764805;17,98728571;3;0
2016;10;30;7;6,126497269;17,50043158;3,7;2074
2016;10;30;8;6,500158062;16,18110309;3,3;3600
2016;10;30;9;7,716853112;14,03415818;4;3600
2016;10;30;10;9,325805762;12,87097149;3,7;3600
2016;10;30;11;10,14942003;12,71755862;3,8;3600
2016;10;30;12;10,60463718;12,12963601;3,7;3600
2016;10;30;13;10,99248135;12,42774157;3,8;3600
2016;10;30;14;10,93687859;12,61040012;2,5;3600
2016;10;30;15;10,30458628;14,44854133;2,5;2411
2016;10;30;16;8,973379995;17,89417573;2,5;0
2016;10;30;17;7,18271751;17,00414211;2,3;0
2016;10;30;18;5,903049523;17,01249541;2,5;0
2016;10;30;19;5,22661738;19,70212459;2,8;0
2016;10;30;20;5,664767648;19,23015019;1,9;0
2016;10;30;21;5,148103913;18,19829373;1,4;0
